M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.681143,5.461333
384.000000,384.000000,384.000000,13.824000,13.824000
512.000000,512.000000,512.000000,29.127110,26.214401
640.000000,640.000000,640.000000,34.133334,42.666665
768.000000,768.000000,768.000000,58.982401,63.195428
896.000000,896.000000,896.000000,63.860363,63.860363
1024.000000,1024.000000,1024.000000,83.886082,87.381330
1152.000000,1152.000000,1152.000000,106.642284,110.592000
1280.000000,1280.000000,1280.000000,117.028568,85.333330
1408.000000,1408.000000,1408.000000,109.035523,99.123199
1536.000000,1536.000000,1536.000000,116.030953,116.030953
1664.000000,1664.000000,1664.000000,92.772292,96.762492
1792.000000,1792.000000,1792.000000,96.891584,110.190433
1920.000000,1920.000000,1920.000000,102.400004,124.540539
2048.000000,2048.000000,2048.000000,104.206308,108.942965
2176.000000,2176.000000,2176.000000,120.500882,120.500882
2304.000000,2304.000000,2304.000000,134.201527,131.977196
2432.000000,2432.000000,2432.000000,129.151390,116.816899
2560.000000,2560.000000,2560.000000,115.380278,124.593159
2688.000000,2688.000000,2688.000000,119.662638,117.804519
2816.000000,2816.000000,2816.000000,110.415714,124.612027
2944.000000,2944.000000,2944.000000,105.808984,118.657220
3072.000000,3072.000000,3072.000000,108.473376,124.720495
3200.000000,3200.000000,3200.000000,107.382551,118.959103
3328.000000,3328.000000,3328.000000,108.095038,115.186076
3456.000000,3456.000000,3456.000000,100.903092,121.235441
3584.000000,3584.000000,3584.000000,121.016676,116.169755
3712.000000,3712.000000,3712.000000,109.656798,111.992540
3840.000000,3840.000000,3840.000000,115.080127,116.473932
3968.000000,3968.000000,3968.000000,120.161428,114.900122
4096.000000,4096.000000,4096.000000,112.977889,113.455387
